Salary1920,TwoP,TwoPA,TwoPP,eFGP,FT,FTA,FTP
27250000,7,12.5,0.562,0.572,4.9,5.8,0.836
1416852,0.7,1.9,0.379,0.37,0.2,0.5,0.429
3551100,2.8,6,0.466,0.498,2.8,3.5,0.803
8349039,0.7,1.7,0.449,0.535,0.5,0.7,0.695
18606557,2.6,5.4,0.494,0.473,1,1.5,0.708
1.80E+07,4.1,7.9,0.521,0.536,2,2.7,0.736
1416852,0.5,1.1,0.5,0.474,0.4,0.6,0.6
9.00E+06,2.1,4.8,0.441,0.503,1.5,1.8,0.843
2.00E+06,2.4,4.5,0.531,0.523,1.6,2.3,0.712
2.80E+07,7.7,14,0.549,0.549,2.2,2.8,0.789
2063520,1.1,2.2,0.521,0.48,1,1.2,0.811
32742000,5.7,11.6,0.494,0.511,4.6,5.5,0.844
2760480,0.6,1.9,0.333,0.402,0.5,0.6,0.8
37800000,6.1,12,0.507,0.49,3.8,5.5,0.697
1445697,0.9,1.8,0.515,0.552,0.7,0.8,0.857
10810000,5.1,10,0.51,0.549,2.3,2.9,0.815
38178000,7,14.5,0.481,0.468,4.1,6.2,0.656
1948080,3.2,6,0.529,0.523,1.4,1.8,0.772
27093018,5.4,9.2,0.581,0.572,1.5,3.4,0.449
27504630,5.2,11.8,0.441,0.461,2.8,4.1,0.699
106181,2.7,4.5,0.602,0.591,1.1,2,0.563
1416852,1.2,2.7,0.447,0.477,0.3,0.4,0.684
8.00E+06,5.1,11.3,0.447,0.471,5.7,6.5,0.876
122741,1.4,2.6,0.556,0.52,0.4,0.7,0.6
2961120,1.2,2.6,0.468,0.506,0.5,1,0.553
1.30E+07,3.5,7.5,0.462,0.497,1.3,2.1,0.628
3117240,0.6,1.2,0.531,0.513,0.4,0.5,0.682
12900000,4.8,8.6,0.564,0.557,1.1,1.7,0.644
6273000,4.6,9.6,0.477,0.48,4.2,5.1,0.829
14471910,3.8,6.6,0.57,0.559,2.3,2.9,0.787
